overhead_min,policy,mean_total_carbon_kgco2eq,std_total_carbon_kgco2eq,mean_migration_count,n_samples
0,1,39.611,18.62,0,24
0,2,37.422,18.144,5.833,24
0,3,38.21,18.084,1.25,24
0,4,38.267,18.022,0.625,24
0,5,36.882,17.945,5.833,24
0,6,38.281,18.125,0.417,24
5,1,39.611,18.62,0,24
5,2,38.763,18.925,5.917,24
5,3,38.896,18.428,1.125,24
5,4,38.718,18.346,0.625,24
5,5,38.221,18.781,6,24
5,6,38.723,18.462,0.417,24
10,1,39.611,18.62,0,24
10,2,39.807,19.697,6,24
10,3,38.98,18.476,1.125,24
10,4,38.773,18.401,0.5,24
10,5,39.213,19.45,6.167,24
10,6,38.73,18.462,0.417,24
15,1,39.611,18.62,0,24
15,2,40.791,20.331,6.125,24
15,3,39.064,18.525,1.125,24
15,4,38.739,18.406,0.417,24
15,5,40.24,20.086,6.208,24
15,6,38.758,18.483,0.417,24
20,1,39.611,18.62,0,24
20,2,42.019,21.118,6.292,24
20,3,39.204,18.647,1.167,24
20,4,38.771,18.435,0.417,24
20,5,41.187,20.758,6.25,24
20,6,38.788,18.505,0.417,24
30,1,39.611,18.62,0,24
30,2,44.272,22.807,6.417,24
30,3,39.465,18.849,1.167,24
30,4,38.848,18.517,0.417,24
30,5,43.462,22.447,6.5,24
30,6,38.82,18.525,0.417,24
45,1,39.611,18.62,0,24
45,2,48.338,25.785,6.792,24
45,3,40.371,19.33,1.292,24
45,4,38.313,18.178,0.333,24
45,5,47.119,25.177,6.75,24
45,6,38.944,18.607,0.417,24
60,1,39.611,18.62,0,24
60,2,52.511,29.388,7.167,24
60,3,40.725,19.62,1.292,24
60,4,37.995,18.018,0.292,24
60,5,51.447,28.837,7.333,24
60,6,38.667,18.511,0.333,24
90,1,39.611,18.62,0,24
90,2,62.079,36.244,7.542,24
90,3,42.09,20.06,1.292,24
90,4,37.738,17.492,0.167,24
90,5,59.915,35.337,7.417,24
90,6,38.744,18.728,0.292,24
120,1,39.611,18.62,0,24
120,2,73.916,46.367,8.5,24
120,3,42.871,20.555,1.25,24
120,4,37.807,17.538,0.167,24
120,5,70.835,44.777,8.292,24
120,6,38.844,18.821,0.292,24
180,1,39.611,18.62,0,24
180,2,93.513,66.372,8.375,24
180,3,48.197,24.937,1.667,24
180,4,38.156,17.699,0.125,24
180,5,89.968,63.258,8.375,24
180,6,39.0,19.062,0.25,24
240,1,39.611,18.62,0,24
240,2,118.382,86.926,8.833,24
240,3,51.815,31.949,1.625,24
240,4,38.329,17.881,0.042,24
240,5,114.195,84.248,8.958,24
240,6,39.485,19.564,0.25,24
360,1,39.611,18.62,0,24
360,2,191.563,191.537,10.833,24
360,3,57.855,35.19,1.625,24
360,4,39.611,18.62,0,24
360,5,186.773,185.997,11.042,24
360,6,39.654,19.338,0.208,24
